Case Diameter (mm),Case Thickness (mm),Band Width (mm),Case Material,Strap Material,Movement Type,Water Resistance,Dial Color,Crystal Material,Predicted Price (USD)
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Grey,,5052.071428571428
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,White Gold,,,,Black,,6676.833333333332
,,,Titanium,,,,White,,7157.0
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Yellow,,6414.5
,,,Titanium,,,,Yellow,,6414.5
,,,Titanium,,,,Yellow,,6414.5
,,,Titanium,,,,Green,,6414.5
,,,Titanium,,,,Orange,,6414.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Orange,,6414.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Yellow,,6414.5
,,,Carbon,,,,Black,,6676.833333333332
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Blue,,6412.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Green,,6414.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Blue,,6412.5
,,,Titanium,,,,Orange,,6414.5
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,Bilgi Yok,,,,Green,,6918.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Titanium,,,,Yellow,,6414.5
,,,Bilgi Yok,,,,Grey,,6918.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Titanium,,,,Yellow,,6414.5
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,White,,7661.333333333332
,,,Titanium,,,,Black,,6226.5
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Grey,,6918.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Grey,,6918.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Grey,,6414.5
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Titanium,,,,Black,,6226.5
,,,Bilgi Yok,,,,Red,,6918.833333333332
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,Titanium,,,,Black,,6226.5
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,White,,5480.0
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Bilgi Yok,,,,Champagne,,6918.833333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Rose Gold,,,,White,,9681.333333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Bilgi Yok,,,,Bronze,,6918.833333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Rose Gold,,,,White,,9681.333333333332
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Bilgi Yok,,,,Champagne,,6918.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Black,,4848.5
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Stainless Steel,,,,Bronze,,5052.071428571428
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Rose Gold,,,,Blue,,9360.833333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Rose Gold,,,,Silver,,10108.476190476189
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,Blue,,9360.833333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Grey,,5052.071428571428
,,,Stainless Steel,,,,Grey,,5052.071428571428
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Rose Gold,,,,Blue,,9360.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,Blue,,9360.833333333332
,,,Rose Gold,,,,Blue,,9360.833333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Bronze,,6918.833333333332
,,,Bilgi Yok,,,,Bronze,,6918.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Bilgi Yok,,,,Bronze,,6918.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Rose Gold,,,,Bronze,,9352.833333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Grey,,5052.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Bronze,,5052.071428571428
,,,Stainless Steel,,,,Black,,4848.5
,,,Bilgi Yok,,,,Bronze,,6918.833333333332
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Rose Gold,,,,Silver,,10108.476190476189
,,,Rose Gold,,,,Silver,,10108.476190476189
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,White,,7661.333333333332
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Rose Gold,,,,Bronze,,9352.833333333332
,,,Rose Gold,,,,Silver,,10108.476190476189
,,,Rose Gold,,,,Blue,,9360.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Champagne,,6918.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,Blue,,9360.833333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Stainless Steel,,,,Grey,,5052.071428571428
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Grey,,5052.071428571428
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Grey,,5052.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Bilgi Yok,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Orange,,6918.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Rose Gold,,,,Blue,,9360.833333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Rose Gold,,,,Blue,,9360.833333333332
,,,Mother of Pearl,,,,Pink,,6918.833333333332
,,,Bilgi Yok,,,,White,,7661.333333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Grey,,5052.071428571428
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Bilgi Yok,,,,Bronze,,6918.833333333332
,,,Bilgi Yok,,,,Bronze,,6918.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Rose Gold,,,,Bronze,,9352.833333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,Bronze,,9352.833333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Rose Gold,,,,Black,,8770.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Bronze,,5052.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Bronze,,6918.833333333332
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Rose Gold,,,,Champagne,,9352.833333333332
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Bronze,,5052.071428571428
,,,Stainless Steel,,,,Bronze,,5052.071428571428
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,Bilgi Yok,,,,Blue,,6916.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Bilgi Yok,,,,Silver,,7868.476190476189
,,,Bilgi Yok,,,,Bronze,,6918.833333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,Mother of Pearl,,,,White,,7661.333333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,,,,,,,6918.833333333332
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Silver,,5281.809523809524
,,,Stainless Steel,,,,Bronze,,5052.071428571428
